TEAM_ID,SEASON_ID,n_obs,order_full,order_reduced,bic_full,bic_reduced,bic_delta
1610612737,22022,81,"(1, 0, 0)","(1, 0, 0)",661.5146914037355,652.0943854996228,9.420305904112638
1610612737,22023,81,"(1, 0, 0)","(1, 0, 0)",680.8350849558738,670.8178168229169,10.017268132956815
1610612737,22024,81,"(1, 0, 0)","(1, 0, 0)",677.1306494071555,662.07243937272,15.058210034435433
1610612738,22022,81,"(1, 0, 0)","(1, 0, 0)",677.9326375019418,666.3602466419319,11.572390860009932
1610612738,22023,81,"(1, 0, 0)","(1, 0, 0)",691.4117412710527,679.6165037411319,11.795237529920882
1610612738,22024,81,"(1, 0, 0)","(1, 0, 0)",685.2146537783269,669.3953940549108,15.819259723416167
1610612739,22022,81,"(1, 0, 0)","(1, 0, 0)",645.05358695529,636.4940311384296,8.559555816860438
1610612739,22023,81,"(1, 0, 0)","(1, 0, 0)",685.4619510844304,675.2814167491499,10.180534335280527
1610612739,22024,81,"(1, 0, 0)","(1, 0, 0)",665.9051468699877,652.494922062546,13.410224807441637
1610612740,22022,81,"(1, 0, 0)","(1, 0, 0)",680.2763379081312,667.2202636819457,13.056074226185501
1610612740,22023,81,"(1, 0, 0)","(1, 0, 0)",712.5333706393774,697.8440758472943,14.689294792083047
1610612740,22024,81,"(1, 0, 0)","(1, 0, 0)",677.9195856603308,662.864894254172,15.054691406158781
1610612741,22022,81,"(1, 0, 0)","(1, 0, 0)",689.1311477913943,674.9710764202673,14.160071371126946
1610612741,22023,81,"(1, 0, 0)","(1, 0, 0)",660.1012356978406,644.3747882648311,15.726447433009525
1610612741,22024,81,"(1, 0, 0)","(1, 0, 0)",703.3048171042459,687.9280621659816,15.376754938264298
1610612742,22022,81,"(1, 0, 0)","(1, 0, 0)",639.8603936024923,625.7737500255603,14.086643576932033
1610612742,22023,81,"(1, 0, 0)","(1, 0, 0)",722.5426684753683,706.4398667814512,16.10280169391706
1610612742,22024,81,"(1, 0, 0)","(1, 0, 0)",695.1478343297076,679.1692930803553,15.97854124935236
1610612743,22022,81,"(1, 0, 0)","(1, 0, 0)",660.5782986650861,646.7569087747188,13.8213898903673
1610612743,22023,81,"(1, 0, 0)","(1, 0, 0)",667.3479850926219,654.025131609109,13.322853483512858
1610612743,22024,81,"(1, 0, 0)","(1, 0, 0)",685.2013430965153,673.0408155203702,12.160527576145114
1610612744,22022,81,"(1, 0, 0)","(1, 0, 0)",687.01524708114,672.5409833349908,14.47426374614929
1610612744,22023,81,"(1, 0, 0)","(1, 0, 0)",672.0693307840597,659.0310578304484,13.03827295361134
1610612744,22024,81,"(1, 0, 0)","(1, 0, 0)",703.7920188019809,689.8989375213732,13.893081280607703
1610612745,22022,81,"(1, 0, 0)","(1, 0, 0)",654.8089167582937,644.8429138530257,9.966002905267942
1610612745,22023,81,"(1, 0, 0)","(1, 0, 0)",673.616514963936,660.201585626379,13.414929337556941
